WKT,OBJECTID
"MULTILINESTRING ((724435.767629378 67170.9357875832,724435.746329429 67170.5327880351,724435.995529134 67170.7851877693,724436.864928098 67171.6507868534,724437.095027813 67172.047786422,724438.209626475 67173.315285072,724439.862724501 67175.051083231,724476.778180453 67213.380542614,724510.311140446 67248.128205796,724538.020907383 67276.8663753483,724570.832668213 67311.1780389752,724604.618227915 67346.0170020771,724643.483381545 67386.2779594273,724671.058548629 67415.0423289442,724671.241548402 67415.376128582,724694.454322729 67410.1408360803),(724696.327220658 67409.7476366538,724750.155961041 67398.8965525903,724811.253793254 67388.291068753,724816.922186987 67386.967470636,724817.264886605 67386.9340706979,724820.037284755 67368.7140914025),(724820.287884495 67368.4157917561,724826.376878147 67361.459500009,724826.192978476 67359.687001991,724823.913783756 67320.2325462561,724821.315189449 67279.9815913946,724820.366391652 67263.5004098847,724796.593119754 67242.6007317737,724784.944833525 67232.3665424937,724784.509834722 67222.0766540479,724784.480034756 67222.0881540336,724784.452734785 67222.0892540305,724783.173836218 67222.1198539077,724783.157336233 67222.1326538911,724782.164638153 67210.4568669687,724781.950138608 67207.3620704398),(724781.950138608 67207.3620704398,724781.014439645 67207.5245701915,724780.846740026 67204.750773302,724781.00163999 67202.7304755889,724782.024138853 67202.6041758014,724782.307638735 67199.6919791001,724783.204737729 67199.6890791648,724784.742336011 67199.5786793942),(724782.024138853 67202.6041758014,724781.989338848 67203.2285750958,724782.002638797 67203.7572745005),(724781.745938908 67206.3288715871,724781.789338832 67206.7047711674,724781.799638814 67206.7983710638,724781.950138608 67207.3620704398),(724784.509834722 67222.0766540479,724784.434634864 67221.2234550036,724784.293135049 67220.8602554027))","19096"
"MULTILINESTRING ((731723.730359417 78248.9605618025,731711.486273135 78248.6213612426,731690.217496882 78249.168058995,731689.666397437 78249.9372580883,731679.296907241 78273.2670310955,731713.696567195 78293.7521107373,731743.861932353 78308.1444968961,731759.569116513 78285.6980233077,731792.739178235 78301.0836085833,731802.63766502 78328.9557780487,731801.844364309 78349.7497546404,731805.968459544 78351.7447527187))","19098"
"MULTILINESTRING ((770588.892237602 88130.5769833539,770616.719004977 88155.1533587817))","19099"
"MULTILINESTRING ((733623.568423632 73108.7885717666,733624.464722705 73107.787672954,733625.575421466 73107.7881730369,733638.379207079 73109.0173726042,733639.489705831 73109.1289725607,733640.609904612 73108.6845731411,733640.273904988 73108.6843731166))","19106"
"MULTILINESTRING ((736579.022624765 75798.5681798091,736579.250125133 75790.3819889898,736578.248627356 75775.7797052608))","19107"
"MULTILINESTRING ((766421.745174563 94078.1699620763,766431.648463039 94085.308455107))","19108"
"MULTILINESTRING ((766520.769282319 93897.0467708121,766517.932785148 93900.1960670805,766511.863791126 93907.7245582272,766504.261198559 93917.7824464448,766495.207207384 93930.0601320823,766493.310709129 93933.7593278318))","19114"
"MULTILINESTRING ((773577.720905406 78292.1197372486,773579.375801117 78322.4344041537,773583.379896661 78323.4381033808))","19116"
"MULTILINESTRING ((734926.661657635 73265.4068926105,734928.557255709 73262.8582956065,734926.681961135 73217.8472458886,734926.243961746 73216.187647714,734926.356261662 73215.6314483462))","19118"
"MULTILINESTRING ((734491.024852653 73144.9877952805,734493.477249549 73149.9672898822,734521.969716057 73172.8784663187,734520.631216888 73181.8335561853,734519.184318446 73182.6116552077,734520.63041675 73183.7155540779,734519.958917558 73182.9364549005,734519.958817573 73182.7232551399))","19124"
"MULTILINESTRING ((771343.859119646 81030.7180480883,771344.307119138 81030.9408478803,771345.091018253 81031.2751475794,771352.994409111 81037.2512416765))","19126"
