WKT,OBJECTID
"MULTILINESTRING ((757549.872802575 92292.3757372569,757569.359682199 92279.665753075,757607.556339146 92289.7578452887,757615.231329673 92301.0372334735,757684.192841586 92435.7096903832,757695.332229931 92428.5209993402,757732.265383526 92491.9366323624,757735.263979183 92503.5471197655,757771.335038863 92509.3264165765,757777.570832119 92507.7816188425,757843.597057835 92523.7502070327,757887.224505759 92567.9115619919,757966.474413759 92618.9554125062,758026.927044025 92652.9458802427,758083.920578651 92680.8609544013,758088.368373101 92688.0495468348,758096.825662505 92702.2131318986,758097.363658594 92739.3856907665))","23900"
"MULTILINESTRING ((735162.770335469 76706.8955547711,735156.994843744 76682.8906812275))","23901"
"MULTILINESTRING ((766472.979220471 87312.0546246273,766484.201810317 87287.1797530088,766485.620110607 87265.9340765406,766485.537610915 87263.4145793098))","23916"
"MULTILINESTRING ((766473.630619746 87312.1846245389,766484.630609835 87287.3297528808,766486.131310004 87266.3939760779,766486.189010193 87263.4945792781))","23917"
"MULTILINESTRING ((774781.005944981 80073.2971846249,774789.012334364 80095.8725605583,774813.729707144 80098.8720593284,774899.753702255 80231.2382214748,774903.081097839 80240.6431114491,774918.65687735 80282.5851667968,774959.361525035 80377.3054664205))","23919"
"MULTILINESTRING ((762089.587841397 89556.116965974,762073.426357084 89580.0025381651,762072.865057528 89581.9959359132,762078.21005112 89587.9704297815,762078.546150769 89587.7574300454))","23939"
"MULTILINESTRING ((777109.537586777 80302.1480283853,777125.257172376 80269.5237653977))","23942"
"MULTILINESTRING ((737816.293196345 72455.2272131723,737815.846497057 72452.3530163534,737823.875790267 72423.1527495995))","23948"
"MULTILINESTRING ((730101.850779762 79473.5968609058,730137.695739552 79474.6142625374,730135.581541045 79485.895649694,730131.43174141 79541.1928872186,730132.212540029 79547.7197799422,730131.200440426 79557.2309691721,730093.685382606 79554.8870689012,730082.888694823 79553.222769935,730059.502421118 79551.7751697505,730038.804646109 79528.3204945118,730007.523881335 79525.6548950848,729985.696705972 79523.0956962713,729983.136908384 79528.9627894782))","23949"
"MULTILINESTRING ((769472.978887541 87813.0779346192,769475.213085569 87807.6546407799,769467.66399177 87831.2821141307,769471.368187019 87839.2196057244,769473.220184502 87844.7758997742,769481.782873839 87859.4402843933,769517.643818734 88039.9855889397,769519.892715296 88051.0981769146,769531.005298017 88109.306513861,769419.218717433 88144.0992657813,769390.035146234 88180.2413234626,769333.573004071 88226.067268094,769269.490869736 88277.8727054762,769261.024179868 88268.1360154442,769249.699991531 88276.6027051341,769257.743281876 88286.1805953031,769148.099894219 88374.9748879818,769124.869418082 88393.0723660289,769112.751530567 88402.1211550076,769081.901062305 88425.6690263879,768964.796382728 88515.6274171096,768954.847994579 88504.8324281136,768946.275503182 88513.8283174605,768953.366394508 88524.0941067885,768780.540372449 88654.5338480451,768762.336991182 88668.3980311852,768753.87029995 88674.218824035,768733.709120361 88693.3747011783,768730.216523984 88695.7029983074,768533.922025961 88845.5499161016,768525.232636359 88835.6212262646,768514.276647577 88844.6238153899,768522.214137962 88855.008804658,768360.433104316 88979.8923529357,768345.174820168 88989.842340639,768333.471931957 89001.6674265889,768328.867836562 89006.6874206562))","23950"
"MULTILINESTRING ((767571.291688501 94341.3616769131,767566.279994113 94340.1436777975,767557.263204019 94340.0267771004,767555.13470494 94355.510959843,767555.242904265 94361.5939531498))","23951"
"MULTILINESTRING ((767467.439405557 92103.1789337056,767453.52142074 92104.1625313691,767462.079609775 92121.6470128757,767465.529205412 92128.0658061139))","23952"
"MULTILINESTRING ((773406.065478553 84422.4019002726,773368.974318474 84429.4654893392))","23954"
"MULTILINESTRING ((770516.572261237 84152.4845493258,770516.573861482 84149.6081524872,770513.347065427 84144.738657563,770510.34196899 84141.5286608347,770463.828225538 84075.345529594,770457.482132757 84072.1336325811,770446.24284637 84056.7496485289,770380.695625284 83972.5231354989,770336.056576979 83939.1982683191,770281.832438015 83919.3649854973,770165.116365063 83927.5967665136,770116.563618636 83922.5911678804,770074.815866521 83896.9015925634,770010.165345338 83802.2765910662,769942.70292302 83757.2124348644,769933.895631222 83774.1338155156,769922.094744744 83767.0469223023,769916.306451485 83762.2866270433,769910.289857642 83767.3722209417,769908.396859749 83766.928621268,769909.288758922 83765.159023289))","23957"
"MULTILINESTRING ((769126.192667847 88947.2673563644,769132.449664062 88912.4227952572))","23958"
"MULTILINESTRING ((760833.825861542 89123.9652337042,760832.929361053 89140.8868149161,760831.684960547 89162.351591075,760849.390640934 89163.6877911445,760893.36739039 89187.9324681804,760908.292774024 89187.171470326,760932.193641567 89257.4325947334,760943.539427001 89281.1114695456,760959.29040047 89386.2133547234,760973.190882695 89414.4279247466,760982.767772186 89413.9884260703,760988.661264845 89423.7277158182,760980.312873449 89430.4732076296,761021.355721464 89508.0416254666,761037.81820012 89544.7788862924,761039.150398247 89549.4252812725,761029.427603796 89608.2713153615,761030.723096433 89675.9788406185,761075.223024227 89940.396752189,761083.013915182 89945.7050470042,761089.131107581 89955.5558366508))","23959"
